Object,ManualScoreMcam,ConfidenceMcam,Segmentation,WrongObject
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_1,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_10,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_11,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_12,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_13,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_15,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_16,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_17,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_18,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_19,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_2,BothEnds,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_20,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_21,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_22,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_23,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_24,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_25,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_26,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_27,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_28,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_29,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_3,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_30,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_31,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_33,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_34,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_35,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_36,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_37,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_38,BothEnds,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_39,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_4,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_40,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_41,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_42,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_43,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_44,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_45,None,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_46,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_47,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_48,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_49,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_5,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_50,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_51,OneEnd,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_52,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_53,OneEnd,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_54,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_55,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_56,OneEnd,2,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_57,BothEnds,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_58,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_59,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_6,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_60,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_61,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_7,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_001.nd2_9,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_002.nd2_1,OneEnd,3,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_002.nd2_11,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_002.nd2_12,None,1,NA,
Cntr_ROCKi_Actin MYosin_Rep3_Cov1_002.nd2_13,None,1,NA,
