"","x"
"1","intensityWrampHalves_MCAM"
"2","profileWrampScore_MCAM"
"3","brightPixWrampHalf_MCAM"
"4","intensityMajorHalves_MCAM"
"5","profileMajorScore_MCAM"
"6","brightPixMajorHalf_MCAM"
"7","medianObjectMeanIntensity"
"8","meanIntensityWramp_MCAM"
"9","medianIntensityWramp_MCAM"
"10","sumIntensityWramp_MCAM"
"11","meanIntensityBrightObj_MCAM"
"12","sumIntensityBrightObj_MCAM"
"13","sumIntensityNotWramp_MCAM"
"14","meanIntensityNotWramp_MCAM"
"15","medianIntensityNotWramp_MCAM"
"16","meanWrampOverNot_MCAM"
"17","sumWrampOverNot_MCAM"
"18","medianWrampOverNot_MCAM"
"19","relAreaWrampBright_MCAM"
"20","CV_IntensityEdge_MCAM"
"21","CV_IntensityCell_MCAM"
"22","Texture_Correlation_8_Mean_MCAM"
"23","Texture_DifferenceEntropy_8_Mean_MCAM"
"24","Texture_DifferenceVariance_8_Mean_MCAM"
"25","Texture_InfoMeas1_8_Mean_MCAM"
"26","Texture_InfoMeas2_8_Mean_MCAM"
"27","Texture_InverseDifferenceMoment_8_Mean_MCAM"
"28","Texture_Correlation_8_Range_MCAM"
"29","Texture_DifferenceEntropy_8_Range_MCAM"
"30","Texture_DifferenceVariance_8_Range_MCAM"
"31","Texture_InfoMeas1_8_Range_MCAM"
"32","Texture_InfoMeas2_8_Range_MCAM"
"33","Texture_InverseDifferenceMoment_8_Range_MCAM"
"34","RadialDistribution_FracAtD_4of4_MCAM"
"35","Area"
"36","MajorAxisLength"
"37","MinorAxisLength"
"38","MaxFeretDiameter"
"39","MinFeretDiameter"
"40","AreaShape_BoundingBoxArea"
"41","AreaShape_ConvexArea"
"42","massDisplacement_MCAM"
"43","medianDistCentrEdge_MCAM"
"44","firstQuartileDistCentrEdge_MCAM"
"45","thirdQuartileDistCentrEdge_MCAM"
"46","medianDistCentr2Wramp_MCAM"
"47","firstQuartileDistCentr2Wramp_MCAM"
"48","medianObjectArea_MCAM"
"49","areaWramp_MCAM"
