Image,Cell,Segmentation,WrongObject,ManualScoreMcam,ConfidenceMcam,ManualScoreOther,ConfidenceOther,ManualScoreFactin,ConfidenceFactin,SameSideOther,SameSideFactin,imgNameV1,Object,DateAcquired,ExposureCh1,PowerCh1,ExposureCh2,PowerCh2,ExposureCh3,PowerCh3,DAPI,FITC,TxRedCy5,Experiment,Replicate,Coverslip,Condition,Normalization
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S2_003.nd2,80thPctlNoClose_521_Img.png,NA,NA,OneEnd,2,OneEnd,2,OneEnd,2,NA,NA,20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S2_003_Img_Cell_30_80thPctlNoClose.png,20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S2_003.nd2_30,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov2,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S2_003.nd2,80thPctlNoClose_1447_Img.png,NA,NA,OneEnd,3,OneEnd,3,OneEnd,3,NA,NA,20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S2_003_Img_Cell_39_80thPctlNoClose.png,20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S2_003.nd2_39,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1_Cov2,KKGK3_StainMCAM-pERM-Factin,
20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S1_003.nd2,80thPctlNoClose_1256_Img.png,NA,NA,None,1,None,1,None,1,NA,NA,20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S1_003_Img_Cell_8_80thPctlNoClose.png,20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S1_003.nd2_8,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1_Cov1,KKGK3_StainMCAM-pERM-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S2_005.nd2,80thPctlNoClose_586_Img.png,NA,Yes - Factin,OneEnd,2,OneEnd,2,OneEnd,2,NA,NA,20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S2_005_Img_Cell_21_80thPctlNoClose.png,20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S2_005.nd2_21,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov2,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S1_002.nd2,80thPctlNoClose_1214_Img.png,NA,NA,OneEnd,3,OneEnd,3,OneEnd,3,NA,NA,20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S1_002_Img_Cell_15_80thPctlNoClose.png,20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S1_002.nd2_15,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1_Cov1,KKGK3_StainMCAM-pERM-Factin,
20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S2_005.nd2,80thPctlNoClose_1810_Img.png,NA,NA,None,1,None,1,None,1,NA,NA,20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S2_005_Img_Cell_10_80thPctlNoClose.png,20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S2_005.nd2_10,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1_Cov2,KKGK3_StainMCAM-pERM-Factin,
20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S2_003.nd2,80thPctlNoClose_776_Img.png,NA,NA,None,1,None,1,None,1,NA,NA,20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S2_003_Img_Cell_14_80thPctlNoClose.png,20220915_KKGK-3_MCAM488-100_pERM594-100_Ph405-150_60X_S2_003.nd2_14,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1,20220911_KKGK3_StainMCAM-pERM-Factin_Rep1_Cov2,KKGK3_StainMCAM-pERM-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S1_008.nd2,80thPctlNoClose_1137_Img.png,NA,NA,OneEnd,3,OneEnd,3,OneEnd,3,NA,NA,20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S1_008_Img_Cell_28_80thPctlNoClose.png,20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S1_008.nd2_28,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK3_StainMCAM-EZR-Factin,
20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S1_009.nd2,80thPctlNoClose_584_Img.png,NA,NA,OneEnd,2,OneEnd,2,OneEnd,2,NA,NA,20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S1_009_Img_Cell_1_80thPctlNoClose.png,20220915_KKGK-3_MCAM488-100_MSN594-100_Ph405-150_60X_S1_009.nd2_1,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1,20220911_KKGK3_StainMCAM-MSN-Factin_Rep1_Cov1,KKGK3_StainMCAM-MSN-Factin,
20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S1_004.nd2,80thPctlNoClose_343_Img.png,NA,NA,None,1,None,1,None,1,NA,NA,20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S1_004_Img_Cell_49_80thPctlNoClose.png,20220915_KKGK-3_MCAM488-100_EZR594-100_Ph405-150_60X_S1_004.nd2_49,09/15/0202,0.1,50,0.1,50,0.15,50,3,1,2,20220911_Exp1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1,20220911_KKGK3_StainMCAM-EZR-Factin_Rep1_Cov1,KKGK3_StainMCAM-EZR-Factin,
