"","x"
"1","percOverlapOther2Main"
"2","percOverlapThird2Main"
"3","percOverlapOther2Third"
"4","percOverlapMain2Other"
"5","percOverlapMain2Third"
"6","percOverlapThird2Other"
"7","percOverlapTriple"
"8","percOverlapBrightestThird2Main"
"9","percOverlapBrightestMain2Third"
"10","percOverlapBrightestOther2Main"
"11","percOverlapBrightestMain2Other"
"12","percOverlapBrightestOther2Third"
"13","percOverlapBrightestThird2Other"
"14","thirdAtWramp"
"15","otherAtWramp"
"16","otherAtWrampThird"
"17","pearsonThirdWramp"
"18","pearsonOtherWramp"
"19","pearsonOtherThirdWramp"
"20","mandersMainThirdBrightest1"
"21","mandersMainThirdBrightest2"
"22","mandersMainOtherBrightest1"
"23","mandersMainOtherBrightest2"
"24","mandersThirdOtherBrightest1"
"25","mandersThirdOtherBrightest2"
"26","pearsonThird"
"27","pearsonOther"
"28","pearsonOtherThird"
"29","mandersMainThird1"
"30","mandersMainThird2"
"31","mandersMainOther1"
"32","mandersMainOther2"
"33","mandersThirdOther1"
"34","mandersThirdOther2"
"35","pearsonThirdNotWramp"
"36","pearsonOtherNotWramp"
"37","thirdWrampOverNot"
"38","otherWrampOverNot"
"39","distCentrThird2Main"
"40","distCentrOther2Main"
"41","distCentrOther2Third"
"42","distWeightedThird2Main"
"43","distWeightedOther2Main"
"44","distWeightedOther2Third"
"45","sameSideCenterThird2Main"
"46","sameSideWeightedThird2Main"
"47","sameSideCenterOther2Main"
"48","sameSideWeightedOther2Main"
"49","sameSideCenterOther2Third"
"50","sameSideWeightedOther2Third"
