Image,Cell,Segmentation,WrongObject,ManualScoreMcam,ConfidenceMcam,ManualScoreOther,ConfidenceOther,ManualScoreFactin,ConfidenceFactin,SameSideOther,SameSideFactin,imgNameV1,Object,DateAcquired,ExposureCh1,PowerCh1,ExposureCh2,PowerCh2,ExposureCh3,PowerCh3,DAPI,FITC,TxRedCy5,Experiment,Replicate,Coverslip,Condition,Normalization
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_001.nd2,80thPctlNoClose_511_Img.png,NA,NA,OneEnd,2,OneEnd,2,OneEnd,2,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_001_Img_Cell_19_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_001.nd2_19,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2,80thPctlNoClose_840_Img.png,NA,NA,OneEnd,3,OneEnd,3,OneEnd,3,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002_Img_Cell_8_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2_8,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2,80thPctlNoClose_690_Img.png,NA,NA,OneEnd,2,OneEnd,2,OneEnd,2,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002_Img_Cell_3_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2_3,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_003.nd2,80thPctlNoClose_694_Img.png,NA,NA,OneEnd,3,OneEnd,3,OneEnd,3,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_003_Img_Cell_8_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_003.nd2_8,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_003.nd2,80thPctlNoClose_586_Img.png,NA,NA,OneEnd,2,OneEnd,2,OneEnd,2,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_003_Img_Cell_31_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_003.nd2_31,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_003.nd2,80thPctlNoClose_274_Img.png,NA,NA,OneEnd,3,OneEnd,3,OneEnd,3,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_003_Img_Cell_42_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_003.nd2_42,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_004.nd2,80thPctlNoClose_884_Img.png,NA,NA,OneEnd,3,OneEnd,3,None,1,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_004_Img_Cell_13_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_004.nd2_13,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_004.nd2,80thPctlNoClose_194_Img.png,NA,NA,OneEnd,3,OneEnd,3,OneEnd,3,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_004_Img_Cell_35_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_004.nd2_35,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_004.nd2,80thPctlNoClose_53_Img.png,NA,NA,OneEnd,3,OneEnd,3,None,1,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_004_Img_Cell_4_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_004.nd2_4,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005.nd2,80thPctlNoClose_201_Img.png,NA,NA,OneEnd,3,OneEnd,3,OneEnd,3,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005_Img_Cell_4_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005.nd2_4,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005.nd2,80thPctlNoClose_255_Img.png,NA,NA,OneEnd,2,OneEnd,2,OneEnd,2,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005_Img_Cell_27_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005.nd2_27,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005.nd2,80thPctlNoClose_458_Img.png,NA,NA,OneEnd,3,OneEnd,3,OneEnd,3,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005_Img_Cell_24_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005.nd2_24,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005.nd2,80thPctlNoClose_383_Img.png,NA,NA,OneEnd,2,OneEnd,2,None,1,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005_Img_Cell_23_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_005.nd2_23,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S2_001.nd2,80thPctlNoClose_108_Img.png,NA,NA,OneEnd,3,OneEnd,3,OneEnd,3,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S2_001_Img_Cell_20_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S2_001.nd2_20,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov2,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S2_001.nd2,80thPctlNoClose_893_Img.png,NA,NA,OneEnd,2,OneEnd,2,OneEnd,2,NA,No,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S2_001_Img_Cell_17_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S2_001.nd2_17,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov2,Naive_StainMCAM-MSN-Factin,Control
