Image,Cell,Segmentation,WrongObject,ManualScoreMcam,ConfidenceMcam,ManualScoreOther,ConfidenceOther,ManualScoreFactin,ConfidenceFactin,SameSideOther,SameSideFactin,imgNameV1,Object,DateAcquired,ExposureCh1,PowerCh1,ExposureCh2,PowerCh2,ExposureCh3,PowerCh3,DAPI,FITC,TxRedCy5,Experiment,Replicate,Coverslip,Condition,Normalization
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_001.nd2,80thPctlNoClose_19_Img.png,Bad,NA,NA,NA,NA,NA,NA,NA,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_001_Img_Cell_22_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_001.nd2_22,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_001.nd2,80thPctlNoClose_592_Img.png,NA,NA,None,1,None,1,None,1,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_001_Img_Cell_8_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_001.nd2_8,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_001.nd2,80thPctlNoClose_511_Img.png,NA,NA,OneEnd,2,OneEnd,2,OneEnd,2,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_001_Img_Cell_19_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_001.nd2_19,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2,80thPctlNoClose_840_Img.png,NA,NA,OneEnd,3,OneEnd,3,OneEnd,3,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002_Img_Cell_8_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2_8,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2,80thPctlNoClose_781_Img.png,NA,NA,None,1,None,1,None,1,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002_Img_Cell_25_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2_25,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2,80thPctlNoClose_509_Img.png,NA,NA,None,1,None,1,None,1,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002_Img_Cell_4_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2_4,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2,80thPctlNoClose_844_Img.png,NA,NA,None,1,None,1,None,1,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002_Img_Cell_18_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2_18,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2,80thPctlNoClose_441_Img.png,NA,NA,None,1,None,1,None,1,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002_Img_Cell_14_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2_14,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2,80thPctlNoClose_690_Img.png,NA,NA,OneEnd,2,OneEnd,2,OneEnd,2,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002_Img_Cell_3_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2_3,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2,80thPctlNoClose_435_Img.png,NA,NA,None,1,None,1,None,1,NA,NA,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002_Img_Cell_20_80thPctlNoClose.png,20220907_EricR23_MCAM488-100_MSN594-100_Ph405-150_60X_S1_002.nd2_20,9/7/202,0.1,50,0.1,50,0.15,50,3,1,2,20220907_Pilot,20220907_Naive_StainMCAM-MSN-Factin_RepP,20220907_Naive_StainMCAM-MSN-Factin_RepP_Cov1,Naive_StainMCAM-MSN-Factin,Control
