"","x"
"1","MajorAxisLength"
"2","MinorAxisLength"
"3","MaxFeretDiameter"
"4","MinFeretDiameter"
"5","massDisplacement"
"6","distCentrs"
"7","minDistCentrSecondEdge"
"8","maxDistCentrSecondEdge"
"9","medianDistCentrSecondEdge"
"10","firstQuartileDistCentrSecondEdge"
"11","thirdQuartileDistCentrSecondEdge"
"12","distCentrsSecond"
"13","minDistCentrEdge"
"14","maxDistCentrEdge"
"15","medianDistCentrEdge"
"16","firstQuartileDistCentrEdge"
"17","thirdQuartileDistCentrEdge"
"18","minDistCentr2Wramp"
"19","maxDistCentr2Wramp"
"20","medianDistCentr2Wramp"
"21","firstQuartileDistCentr2Wramp"
"22","thirdQuartileDistCentr2Wramp"
"23","minDistCentr2Second"
"24","maxDistCentr2Second"
"25","medianDistCentr2Second"
"26","firstQuartileDistCentr2Second"
"27","thirdQuartileDistCentr2Second"
"28","minDistWrampEdge"
"29","maxDistWrampEdge"
"30","medianDistWrampEdge"
"31","firstQuartileDistWrampEdge"
"32","thirdQuartileDistWrampEdge"
"33","minDistSecondEdge"
"34","maxDistSecondEdge"
"35","medianDistSecondEdge"
"36","firstQuartileDistSecondEdge"
"37","thirdQuartileDistSecondEdge"
"38","Area"
"39","medianObjectArea"
"40","areaWramp"
"41","areaBrightObj"
"42","areaSecond"
"43","AreaShape_BoundingBoxArea"
"44","AreaShape_ConvexArea"
"45","AreaShape_EquivalentDiameter"
"46","AreaShape_MaximumRadius"
"47","AreaShape_MeanRadius"
"48","AreaShape_MedianRadius"
"49","AreaShape_Perimeter"
