Experiment,mainCondition,mainRep,classification,n,perc,nTot
20220907_Pilot,Naive,20220907_Naive,OneEnd,187,39.45147679324894,474
20220907_Pilot,KKGK3,20220907_KKGK3,OneEnd,68,14.623655913978496,465
20220907_Pilot,KKGK4,20220907_KKGK4,OneEnd,33,7.746478873239436,426
20220911_Exp1,Naive,20220911_Naive,OneEnd,972,60.26038437693738,1613
20220911_Exp1,KKGK3,20220911_KKGK3,OneEnd,416,34.21052631578947,1216
20220911_Exp1,KKGK4,20220911_KKGK4,OneEnd,437,25.510799766491537,1713
20220919_Exp2,Naive,20220919_Naive,OneEnd,883,57.939632545931765,1524
20220919_Exp2,KKGK3,20220919_KKGK3,OneEnd,286,18.717277486910994,1528
20220919_Exp2,KKGK4,20220919_KKGK4,OneEnd,103,7.862595419847327,1310
20220921_Exp3,Naive,20220921_Naive,OneEnd,746,39.72310969116081,1878
20220921_Exp3,KKGK3,20220921_KKGK3,OneEnd,300,23.942537909018355,1253
20220921_Exp3,KKGK4,20220921_KKGK4,OneEnd,142,10.448859455481973,1359
20221003_Exp4,Naive,20221003_Naive,OneEnd,1172,54.43567115652578,2153
20221003_Exp4,KKGK3,20221003_KKGK3,OneEnd,443,26.182033096926716,1692
20221003_Exp4,KKGK4,20221003_KKGK4,OneEnd,439,24.858437146092864,1766
